rank,pt_cut,ak_radius,ca_radius,n_regimes,regime_coverage,global_objective,mean_score,mean_regret,median_regret,q90_regret,worst_regret,coverage_regret_le_0.02,coverage_regret_le_0.05,coverage_regret_le_0.1
136,240,0.6,1.0,18,1.0,0.7357897226160606,0.8762356817593365,0.447033492951621,0.4871609509519783,0.6028761995243872,0.6240313493781553,0.0,0.0,0.0
137,240,0.6,0.6,18,1.0,0.736882489878912,0.7624111088260378,0.3332089200183223,0.22111962421221992,0.6237429469685436,0.6535802598743314,0.0,0.0,0.0
138,320,1.0,1.0,18,1.0,0.7400478303388537,0.8704797778313681,0.44127758902365255,0.4686579483530536,0.6126253963543618,0.6297284330829406,0.0,0.0,0.0
139,140,0.4,1.2,18,1.0,0.7412338178214141,0.8936709157301796,0.46446872692246416,0.5141193347347566,0.5820321826081568,0.625116636090798,0.0,0.0,0.0
140,200,0.6,1.2,18,1.0,0.7413291374280014,0.9070887493710119,0.47788656056329665,0.5090718112972759,0.5935864361309277,0.6218574972871773,0.0,0.0,0.0
141,260,0.6,0.6,18,1.0,0.7424106858553677,0.7865691734766675,0.357366984668952,0.2525453733847709,0.6348023853088699,0.6530689396881297,0.0,0.0,0.0
142,280,1.0,1.2,18,1.0,0.7427275116303002,0.8869347985949412,0.4577326097872257,0.4641737253439478,0.5743191550362461,0.6282943591834937,0.0,0.0,0.0
143,300,0.8,1.0,18,1.0,0.7454329930408058,0.8692530697512323,0.44005088094351674,0.4737494166491066,0.6011992445010379,0.6354202728049266,0.0,0.0,0.0
144,100,0.6,1.4,18,1.0,0.747495143244669,0.8152857005106454,0.3860835117029299,0.4144720669505083,0.5890352227310323,0.6509742653189365,0.0,0.0,0.05555555555555555
145,200,0.6,0.8,18,1.0,0.7475725037996575,0.7655135795040063,0.3363113906962909,0.27351843007944004,0.6216858502880558,0.6634946561255848,0.0,0.0,0.0
146,120,1.0,1.4,18,1.0,0.7482613972109294,0.925223253805124,0.4960210649974088,0.5380633901167835,0.6102919894836145,0.6242561309615773,0.0,0.0,0.0
147,160,0.4,0.4,18,1.0,0.7505113796753985,0.7051671566530273,0.2759649678453119,0.16954968032603035,0.6245672825691486,0.6815201377140705,0.0,0.05555555555555555,0.1111111111111111
148,300,1.4,1.2,18,1.0,0.7518033932260807,0.8919760852348104,0.46277389642709504,0.46308462916057724,0.5581820742552913,0.6361099191193069,0.0,0.0,0.0
149,260,0.8,1.2,18,1.0,0.7530832292194244,0.898517063394704,0.4693148745869885,0.45280086236573547,0.597852224385531,0.6357545105726773,0.0,0.0,0.0
150,220,0.6,0.8,18,1.0,0.755260748303292,0.7928084259384208,0.3636062371307054,0.31198857813263514,0.6313161695550753,0.6643591890206157,0.0,0.0,0.0
151,180,1.2,1.4,18,1.0,0.7553055522952654,0.9184114203351812,0.48920923152746554,0.49562039368662303,0.6225464784478087,0.6330032444133991,0.0,0.0,0.0
152,160,0.8,1.4,18,1.0,0.7631223322644984,0.8464924898325626,0.4172903010248471,0.44674583610621543,0.6168428334872914,0.6587997570082866,0.0,0.0,0.0
